Name;Rate;Dif;Len;R-D;Age;Made;Genre;U;Multiplayer;Graphics;Fun;Controler;Not_hard;
Okami;4,41;3,04;49;1,37;t13;2008;Act_adv;90;;B;;;;
The Legend of Zelda: The Wind Waker;4,39;2,93;43,22;1,46;e6;2003;Act_adv;96;;;;Gamecube;ok;
The Legend of Zelda: Twilight Princess;4,36;3,01;44,78;1,35;t13;2006;Act_adv;96;;;;;;
The Legend of Zelda: Skyward Sword;4,25;3,08;46,95;1,17;E10 ;2011;Act_adv;93;;B;;m+;;
Project Zero 2: Wii Edition;4,17;3,37;17,38;0,8;t13;2012;Act_adv;77;;;;;;
LEGO The Lord of the Rings;4,1;2,58;38,41;1,52;e10;2012;Act_adv;80;Coop;;;;ok;
Scooby-Doo! and the Spooky Swamp;3,8;2,3;20;1,5;E10 ;2010;Act_adv;76;coop;;;;ok;
No More Heroes 2: Desperate Struggle;4,12;3,19;17,8;0,93;t17;2010;Act_Beat;84;;B;;;;
Madworld;3,9;3,1;12;0,8;t17;2009;Act_Beat;81;;B;;;;
Super Smash Bros. Brawl;4,41;3,1;53;1,31;t13;2008;Act_Fight;93;Multiplayer;B;F;;;
Tatsunoko vs Capcom: Ultimate All-Stars;4,2;3,2;24;1;t13;2010;Act_Fight;85;2P;B;;;;
LEGO Star Wars: The Complete Saga;4,03;2,58;38,05;1,45;e10;2007;Act_gen;80;coop;;;;ok;
The Munchables;3,94;2,13;15,68;1,81;e6;2009;Act_gen;71;;;;;ok;
Super Mario Galaxy 2;4,46;3,14;36,48;1,32;e6;2010;Act_platf;97;coop;B;F;;;
Super Mario Galaxy;4,4;3,01;33,8;1,39;e6;2007;Act_platf;97;;B;F;;;
Kirby's Return to Dream Land;4,26;2,75;22,58;1,51;e10;2011;Act_platf;77;coop;;;;ok;
Rayman Origins;4,19;3,41;25,93;0,78;e10;2011;Act_platf;92;coop;B;;;;
Donkey Kong Country Returns;4,16;3,77;26,94;0,39;e6;2010;Act_platf;87;coop;B;;;;
New Super Mario Bros. Wii;4,14;3,09;26,56;1,05;e6;2009;Act_platf;87;coop;B;;;;
Skylanders trap team;4,13;2,4;52;1,73;e10;2014;Act_platf;;Multiplayer;;;;ok;
LostWinds: Winter of the Melodias;4,07;2,72;9,17;1,35;e6;2009;Act_platf;86;coop;B;;;ok;
Kirby's Epic Yarn;3,99;2,11;18,84;1,88;e6;2010;Act_platf;86;coop;B;;;ok;
Sonic Colors;3,98;2,93;17,37;1,05;e6;2010;Act_platf;78;Multiplayer;B;;;ok;
Fluidity;3,91;3,25;17,74;0,66;e6;2010;Act_platf;86;;B;;;;
NyxQuest: Kindred Spirits;3,89;2,8;12,38;1,09;e6;2009;Act_platf;82;2P;B;;;ok;
A Boy and His Blob;3,88;2,97;17,86;0,91;e6;2009;Act_platf;80;;B;;;;
Wario Land: Shake It!;3,85;2,99;19,41;0,86;e6;2008;Act_platf;78;;B;;;;
de Blob 2;3,81;2,71;23,29;1,1;e10;2011;Act_platf;79;coop;B;;;ok;
Skylanders swap force;3,8;2,7;53;1,1;e10;2013;Act_platf;;Multiplayer;;;;ok;
de Blob;3,79;2,7;18,13;1,09;e6;2008;Act_platf;82;;B;;;ok;
Disney Epic Mickey;3,6;2,97;26,97;0,63;e6;2010;Act_platf;73;;B;;;;
The Beatles: Rock Band;4,24;2,86;30,19;1,38;T13;2009;Act_Rhy;89;coop;;F;;ok;
Rhythm Heaven Fever;4,24;3,35;18,51;0,89;e6;2012;Act_Rhy;83;Multiplayer;;;;;
Rock Band 2;4,24;3,18;35,39;1,06;t13;2008;Act_Rhy;92;coop;;F;;;
DJ Hero 2;4,14;3,17;28;0,97;t13;2010;Act_Rhy;88;;;;TT bundle;;
Bit.Trip Complete;4,1;4,05;53,33;0,05;e6;2011;Act_Rhy;84;Multiplayer;;;;;
Just Dance 2014;3,89;2,79;58,05;1,1;E10;2013;Act_Rhy;75;Multiplayer;;;;ok;
Xenoblade Chronicles;4,57;3,2;80;1,37;t13;2012;Act_RPG;92;;B;;;;
Monster Hunter Tri;4,3;3,7;80;0,6;t13;2010;Act_RPG;84;Coop;B;;;;
Muramasa: The Demon Blade;4,18;3,2;28;0,98;t13;2009;Act_RPG;81;;B;;;;
